Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Price,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,
2022-01-03,476.29998779296875,477.8500061035156,473.8500061035156,477.7099914550781,451.8751220703125,72668200
2022-01-04,479.2200012207031,479.9800109863281,475.5799865722656,477.54998779296875,451.7237854003906,71178700
2022-01-05,477.1600036621094,477.9800109863281,468.2799987792969,468.3800048828125,443.0497741699219,104538900
2022-01-06,467.8900146484375,470.82000732421875,465.42999267578125,467.94000244140625,442.6335754394531,86858900
2022-01-07,467.95001220703125,469.20001220703125,464.6499938964844,466.0899963378906,440.8835144042969,85111600
2022-01-10,462.70001220703125,465.739990234375,456.6000061035156,465.510009765625,440.3349609375,119362000
2022-01-11,465.2300109863281,469.8500061035156,462.04998779296875,469.75,444.34564208984375,74303100
2022-01-12,471.5899963378906,473.20001220703125,468.94000244140625,471.0199890136719,445.54693603515625,67605400
2022-01-13,472.19000244140625,472.8800048828125,463.44000244140625,464.5299987792969,439.4079895019531,91173100
2022-01-14,461.19000244140625,465.0899963378906,459.8999938964844,464.7200012207031,439.5876770019531,95890900
2022-01-18,459.739990234375,459.9599914550781,455.30999755859375,456.489990234375,431.802734375,109709100
2022-01-19,458.1300048828125,459.6099853515625,451.4599914550781,451.75,427.31903076171875,109357600
2022-01-20,453.75,458.739990234375,444.5,446.75,422.5895080566406,122379700
2022-01-21,445.55999755859375,448.05999755859375,437.95001220703125,437.9800109863281,414.2938232421875,202271200
2022-01-24,432.0299987792969,440.3800048828125,420.760009765625,439.8399963378906,416.0531921386719,251783900
2022-01-25,433.05999755859375,439.7200012207031,427.1499938964844,434.4700012207031,410.9736022949219,167997300
2022-01-26,440.7200012207031,444.0400085449219,428.8599853515625,433.3800048828125,409.94256591796875,186391100
2022-01-27,438.260009765625,441.5899963378906,429.45001220703125,431.239990234375,407.91827392578125,149878300
2022-01-28,432.67999267578125,442.0,427.82000732421875,441.95001220703125,418.0491027832031,164457400
2022-01-31,441.239990234375,450.2799987792969,439.80999755859375,449.9100036621094,425.57855224609375,152251400
2022-02-01,450.67999267578125,453.6300048828125,446.94000244140625,452.95001220703125,428.4542541503906,123155400
2022-02-02,455.5,458.1199951171875,453.04998779296875,457.3500061035156,432.6162109375,117361000
2022-02-03,450.95001220703125,452.9700012207031,445.7099914550781,446.6000061035156,422.4476318359375,118024400
2022-02-04,446.3500061035156,452.7799987792969,443.8299865722656,448.70001220703125,424.43402099609375,118454400
2022-02-07,449.510009765625,450.989990234375,445.8500061035156,447.260009765625,423.0718994140625,84472900
2022-02-08,446.7300109863281,451.9200134277344,445.2200012207031,450.94000244140625,426.5529479980469,81012000
2022-02-09,455.2200012207031,457.8800048828125,455.010009765625,457.5400085449219,432.79595947265625,92589900
2022-02-10,451.3399963378906,457.7099914550781,447.20001220703125,449.32000732421875,425.0205383300781,140103700
2022-02-11,449.4100036621094,451.6099853515625,438.94000244140625,440.4599914550781,416.6396789550781,153214600
2022-02-14,439.9200134277344,441.6000061035156,435.3399963378906,439.0199890136719,415.2774963378906,123006300
2022-02-15,443.7300109863281,446.2799987792969,443.17999267578125,446.1000061035156,421.97467041015625,88482700
2022-02-16,443.92999267578125,448.05999755859375,441.94000244140625,446.6000061035156,422.4476318359375,84863600
2022-02-17,443.2200012207031,446.57000732421875,436.4200134277344,437.05999755859375,413.42352294921875,102259100
2022-02-18,437.3299865722656,438.6600036621094,431.82000732421875,434.2300109863281,410.7466125488281,132642900
2022-02-22,431.8900146484375,435.5,425.8599853515625,429.57000732421875,406.338623046875,124391800
2022-02-23,432.6600036621094,433.260009765625,421.3500061035156,421.95001220703125,399.1307373046875,132578000
2022-02-24,411.0199890136719,428.760009765625,410.6400146484375,428.29998779296875,405.1372375488281,213942900
2022-02-25,429.6099853515625,437.8399963378906,427.8599853515625,437.75,414.0762939453125,121804500
2022-02-28,432.0299987792969,438.20001220703125,430.70001220703125,436.6300048828125,413.01678466796875,145615000
2022-03-01,435.0400085449219,437.1700134277344,427.1099853515625,429.9800109863281,406.7264099121094,137785900
2022-03-02,432.3699951171875,439.7200012207031,431.57000732421875,437.8900146484375,414.2086181640625,117726500
2022-03-03,440.4700012207031,441.1099853515625,433.79998779296875,435.7099914550781,412.146484375,105501700
2022-03-04,431.75,433.3699951171875,427.8800048828125,432.1700134277344,408.7979736328125,113978200
2022-03-07,431.54998779296875,432.29998779296875,419.3599853515625,419.42999267578125,396.74700927734375,137896600
2022-03-08,419.6199951171875,427.2099914550781,415.1199951171875,416.25,393.73895263671875,164772700
2022-03-09,425.1400146484375,429.510009765625,422.82000732421875,427.4100036621094,404.2954406738281,116990800
2022-03-10,422.5199890136719,426.42999267578125,420.44000244140625,425.4800109863281,402.46978759765625,93972700
2022-03-11,428.1199951171875,428.7699890136719,419.5299987792969,420.07000732421875,397.35235595703125,95636300
2022-03-14,420.8900146484375,424.54998779296875,415.7900085449219,417.0,394.4483947753906,95729200
2022-03-15,419.7699890136719,426.8399963378906,418.4200134277344,426.1700134277344,403.1224670410156,106219100
2022-03-16,429.8900146484375,435.67999267578125,424.79998779296875,435.6199951171875,412.0614013671875,144954800
2022-03-17,433.5899963378906,441.07000732421875,433.19000244140625,441.07000732421875,417.21673583984375,102676900
2022-03-18,438.0,444.8599853515625,437.2200012207031,444.5199890136719,421.7863464355469,106345500
2022-03-21,444.3399963378906,446.4599914550781,440.67999267578125,444.3900146484375,421.6630554199219,88349800
2022-03-22,445.8599853515625,450.5799865722656,445.8599853515625,449.5899963378906,426.5970764160156,74650400
2022-03-23,446.9100036621094,448.489990234375,443.7099914550781,443.79998779296875,421.1031799316406,79426100
2022-03-24,445.94000244140625,450.5,444.760009765625,450.489990234375,427.4510192871094,64736900
2022-03-25,451.1600036621094,452.9800109863281,448.42999267578125,452.69000244140625,429.5385437011719,77101300
2022-03-28,452.05999755859375,455.9100036621094,450.05999755859375,455.9100036621094,432.5938415527344,68529800
2022-03-29,460.0199890136719,462.07000732421875,457.17999267578125,461.54998779296875,437.94537353515625,86581500
2022-03-30,460.3399963378906,461.20001220703125,456.4700012207031,458.70001220703125,435.2411804199219,79666900
2022-03-31,457.8900146484375,458.760009765625,451.1600036621094,451.6400146484375,428.5422668457031,121699900
2022-04-01,453.30999755859375,453.4599914550781,449.1400146484375,452.9200134277344,429.75677490234375,89048800
2022-04-04,453.1300048828125,456.9100036621094,452.260009765625,456.79998779296875,433.4383850097656,59601000
2022-04-05,455.2200012207031,457.8299865722656,449.82000732421875,451.0299987792969,427.96343994140625,74214500
2022-04-06,446.8900146484375,448.92999267578125,443.4700012207031,446.5199890136719,423.68402099609375,106898000
2022-04-07,445.5899963378906,450.69000244140625,443.5299987792969,448.7699890136719,425.8189697265625,78097200
2022-04-08,447.9700012207031,450.6300048828125,445.94000244140625,447.57000732421875,424.68035888671875,79272700
2022-04-11,444.1099853515625,445.0,439.3900146484375,439.9200134277344,417.42156982421875,89770500
2022-04-12,443.0799865722656,445.75,436.6499938964844,438.2900085449219,415.875,84363600
2022-04-13,438.0299987792969,444.1099853515625,437.8399963378906,443.30999755859375,420.63824462890625,74070400
2022-04-14,443.54998779296875,444.7300109863281,437.67999267578125,437.7900085449219,415.40057373046875,97869500
2022-04-18,436.80999755859375,439.75,435.6099853515625,437.9700012207031,415.57135009765625,66002500
2022-04-19,437.8599853515625,445.79998779296875,437.67999267578125,445.0400085449219,422.2797546386719,77821000
