date,symbol,side,qty,price,value,pnl,pnlpct
2022-07-29,AMD,BUY,211.70741760948547,94.47000122070312,20000.0,0.0,0.0
2022-07-29,AMZN,BUY,148.20304151374427,134.9499969482422,20000.0,0.0,0.0
2022-07-29,NFLX,BUY,889.2841353286343,22.489999771118164,20000.0,0.0,0.0
2022-07-29,TSLA,BUY,67.30607575569135,297.1499938964844,20000.0,0.0,0.0
2022-07-29,NVDA,BUY,1090.1282763619301,18.163000106811523,19800.0,0.0,0.0
2022-08-01,AMD,SELLEXIT,211.70741760948547,96.77999877929688,20489.0436178141,489.043617814099,0.024452180890704948
2022-08-01,AMZN,SELLEXIT,148.20304151374427,135.38999938964844,20065.20970008988,65.20970008987933,0.003260485004493967
2022-08-01,NFLX,SELLEXIT,889.2841353286343,22.621000289916992,20116.49668308762,116.4966830876183,0.005824834154380914
2022-08-01,TSLA,SELLEXIT,67.30607575569135,297.27667236328125,20008.526230482847,8.526230482846586,0.0004263115241423293
2022-08-01,NVDA,SELLEXIT,1090.1282763619301,18.44099998474121,20103.055527756318,303.05552775631804,0.015305834735167579
2022-08-03,AMD,BUY,205.8973096734083,98.08999633789062,20196.466351846153,0.0,0.0
2022-08-03,AMZN,BUY,144.7567784789168,139.52000427246094,20196.466351846153,0.0,0.0
2022-08-03,NFLX,BUY,890.7716690698196,22.67300033569336,20196.466351846153,0.0,0.0
2022-08-03,TSLA,BUY,65.70164379914557,307.39666748046875,20196.466351846153,0.0,0.0
2022-08-03,NVDA,BUY,1058.3021256413008,18.89299964904785,19994.50168832769,0.0,0.0
2022-08-04,AMD,SELLEXIT,205.8973096734083,103.91000366210938,21394.790202182325,1198.3238503361717,0.05933334225205358
2022-08-04,AMZN,SELLEXIT,144.7567784789168,142.57000732421875,20637.97496796948,441.50861612332665,0.02186068634144846
2022-08-04,NFLX,SELLEXIT,890.7716690698196,22.990999221801758,20479.730750387276,283.2643985411232,0.014025443540782079
2022-08-04,TSLA,SELLEXIT,65.70164379914557,308.6333312988281,20277.717197539292,81.25084569313913,0.004023022853486051
2022-08-04,NVDA,SELLEXIT,1058.3021256413008,19.21500015258789,20335.275505681682,340.77381735399103,0.01704337635745764
2022-08-04,AMD,BUY,198.87874053642577,103.91000366210938,20665.490657455703,0.0,0.0
2022-08-04,AMZN,BUY,144.94977622088683,142.57000732421875,20665.490657455703,0.0,0.0
2022-08-04,NFLX,BUY,898.8513486555714,22.990999221801758,20665.490657455703,0.0,0.0
2022-08-04,TSLA,BUY,66.95806499735036,308.6333312988281,20665.490657455703,0.0,0.0
