date,equity,benchmarkequity
2022-01-02,100000.0,100000.0
2022-01-03,100000.0,100663.74393693743
2022-01-04,100000.0,100744.77908588912
2022-01-05,100000.0,101562.39677027648
2022-01-06,100000.0,100742.84771480526
2022-01-09,100000.0,100092.12875603097
2022-01-10,100000.0,99711.54266263293
2022-01-11,100000.0,101607.25404136455
2022-01-12,100000.0,103167.73121721012
2022-01-13,100000.0,103814.10459104572
2022-01-16,100000.0,103184.61893754099
2022-01-17,100000.0,103321.60496466003
2022-01-18,100000.0,102106.99630931472
2022-01-19,100000.0,101541.17524165986
2022-01-20,100000.0,101937.20052707588
2022-01-23,100000.0,98925.7572711705
2022-01-24,100000.0,95291.08176447707
2022-01-25,100000.0,95837.12983182822
2022-01-26,100000.0,98083.04942767233
2022-01-27,100000.0,97479.11911106997
2022-01-30,100000.0,97857.7856100371
2022-01-31,100000.0,97896.37181342908
2022-02-01,100000.0,98184.34630802518
2022-02-02,100000.0,99227.23958670071
2022-02-03,100000.0,98492.58253402245
2022-02-06,100000.0,98501.75065834435
2022-02-07,100000.0,98499.81928726047
2022-02-08,100000.0,98304.93923423727
2022-02-09,100000.0,100519.99811102486
2022-02-10,100000.0,100527.71181870738
2022-02-13,100000.0,97360.94039871272
2022-02-14,100000.0,98372.95529335231
2022-02-15,100000.0,99646.90061458819
2022-02-16,100000.0,100710.0497363384
2022-02-17,100000.0,100209.82462561726
2022-02-20,100000.0,99408.12897601885
2022-02-21,100000.0,99841.29782484043
2022-02-22,100000.0,100053.05382154154
2022-02-23,100000.0,99981.66375135623
2022-02-24,100000.0,96945.61906743747
2022-02-27,100000.0,98609.80144916425
2022-02-28,100000.0,99123.52260416656
2022-03-01,100000.0,98508.02172604043
2022-03-02,100000.0,98973.0287561134
2022-03-03,100000.0,98245.1256139022
2022-03-06,100000.0,97911.32816267609
2022-03-07,100000.0,97159.30643522246
2022-03-08,100000.0,96195.04586829674
2022-03-09,100000.0,98053.62546027575
2022-03-10,100000.0,97402.90650150146
2022-03-13,100000.0,95915.75665525155
2022-03-14,100000.0,96181.06109291814
2022-03-15,100000.0,96423.68958532874
2022-03-16,100000.0,98098.48861969031
2022-03-20,100000.0,100337.17735062288
2022-03-21,100000.0,100191.50015362643
2022-03-22,100000.0,101338.58148095415
2022-03-23,100000.0,101509.81401485295
2022-03-24,100000.0,101919.82996397404
2022-03-27,100000.0,101795.38607224717
2022-03-28,100000.0,101577.83596229446
2022-03-29,100000.0,101970.96419108467
2022-03-30,100000.0,102086.25762346908
2022-03-31,100000.0,101158.65777717796
2022-04-03,100000.0,101854.23400704032
2022-04-04,100000.0,103023.98539129755
2022-04-05,100000.0,103741.74883531846
2022-04-06,100000.0,102128.21783793136
2022-04-07,100000.0,102154.26779425763
2022-04-10,100000.0,102204.9191785973
2022-04-11,100000.0,101386.81865143898
2022-04-12,100000.0,101704.21122510519
2022-04-13,100000.0,101457.24303608236
2022-04-14,100000.0,102183.69764998068
2022-04-17,100000.0,102183.69764998068
2022-04-18,100000.0,102726.84866070603
2022-04-19,100000.0,103298.45206495955
2022-04-20,100000.0,103754.29097071064
2022-04-24,100000.0,102032.22633973265
2022-04-25,100000.0,101306.73741137626
2022-04-26,100000.0,101368.48240279521
2022-04-27,100000.0,100672.90617293284
2022-04-28,100000.0,101741.35478851074
2022-05-01,100000.0,100070.90722741435
2022-05-02,100000.0,97506.13475293819
2022-05-03,100000.0,97539.41557417602
2022-05-08,100000.0,94969.34360587217
2022-05-09,100000.0,93406.9409472692
2022-05-10,100000.0,94037.88101741331
2022-05-11,100000.0,94829.45463380085
2022-05-12,100000.0,93655.84050737589
2022-05-15,100000.0,94591.159949676
2022-05-16,100000.0,94996.83620218487
2022-05-17,100000.0,96465.17873367299
2022-05-18,100000.0,96020.91038944566
2022-05-19,100000.0,93521.74564855617
2022-05-22,100000.0,94419.92152745073
2022-05-23,100000.0,94809.19290239969
2022-05-24,100000.0,92436.4093126474
2022-05-25,100000.0,91201.53303757447
2022-05-26,100000.0,93535.24758116381
2022-05-29,100000.0,95887.7753278414
2022-05-30,100000.0,95183.51381642812
2022-05-31,100000.0,94794.72528425013
2022-06-01,100000.0,95776.3505259512
2022-06-02,100000.0,94727.67491067703
2022-06-06,100000.0,95393.82717314282
2022-06-07,100000.0,94256.87965567893
2022-06-08,100000.0,94782.18314885795
2022-06-09,100000.0,93547.78971655598
2022-06-12,100000.0,90188.55245739296
2022-06-13,100000.0,88411.97958823404
2022-06-14,100000.0,88994.20553344881
2022-06-15,100000.0,90186.1441318646
2022-06-16,100000.0,87980.25926772536
2022-06-19,100000.0,89068.00392916249
2022-06-20,100000.0,89567.74030878619
2022-06-21,100000.0,91249.29325361481
2022-06-22,100000.0,91201.05608312998
2022-06-23,100000.0,90660.31339793299
2022-06-26,100000.0,92554.10518223369
2022-06-27,100000.0,92043.27519553072
2022-06-28,100000.0,93060.59547232445
2022-06-29,100000.0,92909.61289317386
2022-06-30,100000.0,90869.66695743223
2022-07-03,100000.0,92398.78290647088
2022-07-04,100000.0,91975.25913641568
2022-07-05,100000.0,91047.17644735359
2022-07-06,100000.0,90814.19303370937
2022-07-07,100000.0,92363.08787137821
2022-07-10,100000.0,93397.77282294733
2022-07-11,100000.0,92748.50239248593
2022-07-12,100000.0,92786.61164143342
2022-07-13,100000.0,92339.93497167774
2022-07-14,100000.0,91602.38675070016
2022-07-17,100000.0,92890.31684731464
2022-07-18,100000.0,93785.1187151389
2022-07-19,100000.0,93669.34832831
2022-07-20,100000.0,94712.23571865905
2022-07-21,100000.0,95707.36878129425
2022-07-24,100000.0,95364.40320574625
2022-07-25,100000.0,94867.08103997738
2022-07-26,100000.0,94262.66788060404
2022-07-27,100000.0,95079.31987944947
2022-07-28,100000.0,95718.94523114449
2022-07-31,100000.0,97062.8320942528
2022-08-01,99243.9596822407,96649.4421340614
2022-08-02,99834.83797456409,95959.64824079769
2022-08-03,99834.83797456409,96740.12825010596
2022-08-04,102786.81432666365,97017.49198039375
2022-08-08,104961.98041922465,98693.25081197078
2022-08-09,102114.94232716844,98370.06412505297
2022-08-10,100824.8504818024,100159.17324127759
2022-08-11,101721.95054407572,100787.70498589333
2022-08-14,101240.44008603395,100787.70498589333
2022-08-15,102407.32227433397,101518.50518473034
2022-08-16,102586.90035329584,101499.6860933156
2022-08-17,98796.24990807651,100409.53310635012
2022-08-18,100450.44237550833,101583.13545612214
2022-08-21,100505.06735030739,101005.73793861702
2022-08-22,98703.46891676635,99951.2799867442
2022-08-23,99902.47085417394,100755.38985019743
2022-08-24,100310.9765052113,102077.56645359169
2022-08-25,98887.39988877415,101922.24417782888
2022-08-28,98055.68087857774,100385.41452110771
2022-08-29,97261.40576263705,100410.49879189205
2022-08-30,94541.38339808873,99924.74718764695
2022-08-31,95587.04791697848,100037.14356340555
2022-09-01,95660.28770477367,99401.85201999628
2022-09-04,96481.03779497476,99401.85201999628
2022-09-05,95791.3719462745,99040.55608413099
2022-09-06,95585.6594555439,98096.55724860643
2022-09-07,93665.63446995862,97435.22752552383
2022-09-08,93665.63446995862,98303.49659425084
2022-09-11,93665.63446995862,99662.82264937712
2022-09-12,93665.63446995862,99839.36645375655
2022-09-13,93665.63446995862,98686.9797442747
2022-09-14,93665.63446995862,97224.43132603816
2022-09-15,93665.63446995862,96828.88299506664
2022-09-18,93665.63446995862,95374.5311272836
2022-09-19,93665.63446995862,96276.0869055749
2022-09-20,93665.63446995862,95679.39334221058
2022-09-21,93665.63446995862,96131.85823689138
2022-09-22,93665.63446995862,94970.78624585859
2022-09-28,93665.63446995862,92531.43512530417
2022-09-29,93665.63446995862,90875.45518235734
2022-10-02,93665.63446995862,88742.40302838986
2022-10-03,93665.63446995862,90599.05124928501
2022-10-06,93665.63446995862,91800.15797202267
2022-10-11,93665.63446995862,90738.94022135632
2022-10-12,93665.63446995862,91240.6079720639
2022-10-13,93665.63446995862,91958.37730441129
2022-10-18,93665.63446995862,92959.78143474256
2022-10-19,93665.63446995862,92871.98648699734
2022-10-20,93665.63446995862,92498.14841573987
2022-10-23,93665.63446995862,93106.90127172542
2022-10-24,93665.63446995862,92809.28169836293
2022-10-25,93665.63446995862,93703.60072341624
2022-10-26,93665.63446995862,94469.60133792198
2022-10-27,93665.63446995862,94392.42304281154
2022-10-30,93665.63446995862,95174.83442320368
2022-10-31,93665.63446995862,94481.1836760987
2022-11-02,93665.63446995862,94265.55904890338
2022-11-03,93665.63446995862,92794.8081918869
2022-11-06,93665.63446995862,93553.5779414811
2022-11-07,93665.63446995862,92631.7663201151
2022-11-08,93665.63446995862,93668.86548553903
2022-11-09,93665.63446995862,93387.16205863902
2022-11-10,93665.63446995863,96034.90105315074
2022-11-13,93045.1661798828,95818.79947151092
2022-11-14,91524.29663864303,94801.95614916168
2022-11-15,91967.92906202981,95655.75759973912
2022-11-16,89309.36715331528,94284.8550947626
