name,start_date,end_date,start_equity,end_equity,total_return_pct,max_drawdown_pct,overall_alpha_pct,overall_sharpe,deploy_alpha_pct,deploy_sharpe
US,2022-01-03,2025-12-31,100000.0,295466.8604576771,195.46686045767711,-25.580968812531268,13.024308511428515,0.9292440253129879,13.524324189821066,1.0127980337220956
CRYPTO,2022-04-10,2025-12-31,100000.0,1105704.346922453,1005.7043469224528,-45.41600093716831,32.502647305449464,1.2100712394108761,,
MULTI,2022-01-03,2025-12-31,99000.0,512564.7980140952,417.7422202162578,-29.572748583934565,,,,
