market,total_return_pct,multiple,max_drawdown_pct,win_rate_pct,num_trades,benchmark_return_pct,benchmark_multiple
CRYPTO,961.0940521996393,10.610940521996394,-50.556566129356106,67.60691537761602,1099,83.6616784692384,1.836616784692384
US,175.70731489111074,2.7570731489111076,-22.699140115248994,74.52830188679245,848,42.74769109037595,1.4274769109037595
IL,49.00516137026902,1.4900516137026902,-29.37294475043592,66.5016501650165,606,81.96707063167818,1.8196707063167818
