date,equity,benchmark_equity
2024-01-01,100000.0,100000.0
2024-01-02,100000.0,99466.00841434649
2024-01-03,100000.0,98511.9951490327
2024-01-04,100000.0,99007.9967660218
2024-01-07,100000.0,98558.95765522668
2024-01-08,100000.0,98713.03667191385
2024-01-09,100000.0,98261.88486025031
2024-01-10,100000.0,98025.49424479027
2024-01-11,100000.0,98250.8060630135
2024-01-14,100000.0,98016.52170726069
2024-01-15,100000.0,97514.1948699887
2024-01-16,100000.0,96283.68831968204
2024-01-17,100000.0,95268.9993160131
2024-01-18,100000.0,97078.87543251592
2024-01-21,100000.0,97245.08315571294
2024-01-22,100000.0,97215.00937414393
2024-01-23,100000.0,96688.40580036871
2024-01-24,100000.0,97284.65765002865
2024-01-25,100000.0,96418.77235203703
2024-01-28,100000.0,97032.44110153905
2024-01-29,100000.0,98066.12508954019
2024-01-30,100000.0,97065.68393441068
2024-01-31,100000.0,96605.03141000045
2024-02-01,100000.0,95919.6016837453
2024-02-04,100000.0,96591.83991189522
2024-02-05,100000.0,95990.31275122541
2024-02-06,100000.0,96952.76393769053
2024-02-07,100000.0,97172.26582852559
2024-02-08,100000.0,96643.55599504313
2024-02-11,100000.0,96053.62936566607
2024-02-12,100000.0,97244.55498049584
2024-02-13,100000.0,97782.77196788618
2024-02-14,100000.0,97754.27627080728
2024-02-15,100000.0,98256.60954924046
2024-02-18,100000.0,98926.73507652196
2024-02-19,100000.0,100185.2091486904
2024-02-20,100000.0,100226.88990271336
2024-02-21,100000.0,99888.13635371406
2024-02-22,100000.0,101021.02066511303
2024-02-25,100000.0,102279.48829612028
2024-02-26,100000.0,102520.63248853425
2024-02-28,100000.0,101819.37038808833
2024-02-29,100000.0,102739.07802893511
2024-03-03,100000.0,103572.25511043337
2024-03-04,100000.0,103457.7505880619
2024-03-05,100000.0,102746.99421603048
2024-03-06,100000.0,103139.57654904613
2024-03-07,100000.0,102336.47324911688
2024-03-10,100000.0,101246.86065855333
2024-03-11,100000.0,100982.50252123151
2024-03-12,100000.0,100437.42569718002
2024-03-13,100000.0,100232.17165488438
2024-03-14,100000.0,99419.57408336962
2024-03-17,100000.0,100611.02787341649
2024-03-18,100000.0,101761.32908465754
2024-03-19,100000.0,102287.40448321565
2024-03-20,100000.0,103546.92846465712
2024-03-21,100000.0,104448.1692963888
2024-03-25,100000.0,105447.5605422453
2024-03-26,100000.0,105811.11900296494
2024-03-27,100000.0,105464.97100092618
2024-03-28,100000.0,105240.71553313716
2024-03-31,100000.0,106081.28062651372
2024-04-01,100000.0,105906.62209984302
2024-04-02,100000.0,103817.09008820589
2024-04-03,100000.0,104124.18532998486
2024-04-04,100000.0,102633.02431003732
2024-04-08,100000.0,105577.89099764633
2024-04-09,100000.0,104465.05802101379
2024-04-10,100000.0,103704.69826670285
2024-04-11,100000.0,101999.30422576888
2024-04-14,100000.0,102269.99402453475
