date,equity,benchmark_equity
2022-01-03,100000.0,100000.0
2022-01-04,100000.0,99966.50610936103
2022-01-05,100000.0,98046.93501514444
2022-01-06,100000.0,97954.82841296389
2022-01-07,100000.0,97567.56288856475
2022-01-10,100000.0,97446.15312476663
2022-01-11,100000.0,98333.71886762668
2022-01-12,100000.0,98599.56823992128
2022-01-13,100000.0,97241.00544021788
2022-01-14,100000.0,97280.7790360825
2022-01-18,100000.0,95557.97416837186
2022-01-19,100000.0,94565.74241287995
2022-01-20,100000.0,93519.08228656142
2022-01-21,100000.0,91683.24272478902
2022-01-24,100000.0,92072.59722539241
2022-01-25,100000.0,90948.48527185534
2022-01-26,100000.0,90720.31413091467
2022-01-27,100000.0,90272.34053046325
2022-01-28,100000.0,92514.29112061819
2022-01-31,100000.0,94180.57225299151
2022-02-01,100000.0,94816.94339851897
2022-02-02,100000.0,95738.00303201801
2022-02-03,100000.0,93487.68376043314
2022-02-04,100000.0,93927.28229114822
2022-02-07,100000.0,93625.84366370397
2022-02-08,100000.0,94396.18398348086
2022-02-09,100000.0,95777.77662788262
2022-02-10,100000.0,94057.06712468268
2022-02-11,100000.0,92202.38205892689
2022-02-14,100000.0,91900.94343148264
2022-02-15,100000.0,93383.01774780129
2022-02-16,100000.0,93487.68376043314
2022-02-17,100000.0,91490.65445069157
2022-02-18,100000.0,90898.24763005011
2022-02-22,100000.0,89922.75962572446
2022-02-23,100000.0,88327.65061534403
2022-02-24,100000.0,89656.90386512343
2022-02-25,100000.0,91635.09405918804
2022-02-28,100000.0,91400.64321302171
2022-03-01,100000.0,90008.58652267934
2022-03-02,100000.0,91664.40360911205
2022-03-03,100000.0,91208.05493892428
2022-03-04,100000.0,90467.02416907139
2022-03-07,100000.0,87800.12982316337
2022-03-08,100000.0,87134.45551601832
2022-03-09,100000.0,89470.60168455809
2022-03-10,100000.0,89066.59240899266
2022-03-11,100000.0,87934.10538571923
2022-03-14,100000.0,87291.4545349661
2022-03-15,100000.0,89211.03201748914
2022-03-16,100000.0,91189.21582324732
2022-03-17,100000.0,92330.0779162571
2022-03-18,100000.0,93052.26957043303
2022-03-21,100000.0,93025.06177332615
2022-03-22,100000.0,94113.58447171358
2022-03-23,100000.0,92901.55025671089
2022-03-24,100000.0,94301.98201678963
2022-03-25,100000.0,94762.51502769235
2022-03-28,100000.0,95436.56440457374
2022-03-29,100000.0,96617.19370514172
2022-03-30,100000.0,96020.6025437853
2022-03-31,100000.0,94542.71895648804
2022-04-01,100000.0,94810.66369329332
2022-04-04,100000.0,95622.8665851391
2022-04-05,100000.0,94415.02309915783
2022-04-06,100000.0,93470.93362096044
2022-04-07,100000.0,93941.93067780379
2022-04-08,100000.0,93690.7360804712
2022-04-11,100000.0,92089.34736486511
2022-04-12,100000.0,91748.13514155624
2022-04-13,100000.0,92798.97960858974
2022-04-14,100000.0,91643.4691289244
2022-04-18,100000.0,91681.14736027831
2022-04-19,100000.0,93161.12631208627
2022-04-20,100000.0,93092.04316629765
2022-04-21,100000.0,91699.98647595527
2022-04-22,100000.0,89183.81783207583
2022-04-25,100000.0,89700.86819000944
2022-04-26,100000.0,87103.05698989006
2022-04-27,100000.0,87347.97188199699
2022-04-28,100000.0,89554.33321700226
2022-04-29,100000.0,86244.79440864758
2022-05-02,100000.0,86763.94013109188
2022-05-03,100000.0,87161.66970143165
2022-05-04,100000.0,89815.9982485819
2022-05-05,100000.0,86623.68486331037
2022-05-06,100000.0,86106.63450537674
2022-05-09,100000.0,83349.73531010532
2022-05-10,100000.0,83542.31719589634
2022-05-11,100000.0,82215.1529223212
2022-05-12,100000.0,82129.3260253663
2022-05-13,100000.0,84092.86144446892
2022-05-16,100000.0,83751.64922116004
2022-05-17,100000.0,85474.45408887067
2022-05-18,100000.0,82028.8443534494
2022-05-19,100000.0,81526.4487704778
2022-05-20,100000.0,81562.03802562747
2022-05-23,100000.0,83088.07027852569
2022-05-24,100000.0,82453.79449750892
2022-05-25,100000.0,83182.2658569105
2022-05-26,100000.0,84844.36264856884
2022-05-27,100000.0,86927.21885526532
2022-05-31,100000.0,86439.47165894927
2022-06-01,100000.0,85740.30346116525
2022-06-02,100000.0,87373.09709120604
2022-06-03,100000.0,85939.17144048835
2022-06-06,100000.0,86200.83647206798
2022-06-07,100000.0,87027.69413887578
2022-06-08,100000.0,86081.51568447413
2022-06-09,100000.0,84034.24873292733
2022-06-10,100000.0,81597.62089247067
2022-06-13,100000.0,78499.50947389039
2022-06-14,100000.0,78262.96326321337
2022-06-15,100000.0,79378.70653532053
2022-06-16,100000.0,76751.58578527714
2022-06-17,100000.0,76586.211696593
2022-06-21,100000.0,78514.1642488524
2022-06-22,100000.0,78371.8200048666
2022-06-23,100000.0,79140.06496013282
2022-06-24,100000.0,81656.23360401226
2022-06-27,100000.0,81344.3309306274
2022-06-28,100000.0,79682.23413896904
2022-06-29,100000.0,79617.3417222018
2022-06-30,100000.0,78970.50653073374
2022-07-01,100000.0,79805.73926727787
2022-07-05,100000.0,79956.45858099998
2022-07-06,100000.0,80226.49868231597
2022-07-07,100000.0,81428.06246307159
2022-07-08,100000.0,81361.0810701001
2022-07-11,100000.0,80431.64636686473
2022-07-12,100000.0,79719.91237032297
2022-07-13,100000.0,79301.24831979556
2022-07-14,100000.0,79108.66643400455
